Period,GDPnom_CP,GOVnom_CP,GDPnom_PD10,GOVnom_PD10
2005Q1,48858.8,9654.3,82.63,72.344
2005Q2,49551.1,9921.9,83.602,74.262
2005Q3,50262.1,10083.9,83.639,74.556
2005Q4,50822.5,10320.2,84.15,75.418
2006Q1,53642.7,10692.8,86.017,74.699
2006Q2,54117.9,10940.4,86.513,76.949
2006Q3,54701.0,11032.1,87.029,76.743
2006Q4,55614.9,11250.5,86.289,76.68
2007Q1,56799.4,11632.6,88.825,78.239
2007Q2,58230.8,11738.0,88.487,77.387
2007Q3,58596.2,11918.3,89.6,78.619
2007Q4,59326.8,12291.0,91.169,79.397
2008Q1,60579.8,12249.3,92.529,82.274
2008Q2,60395.3,12453.3,92.841,84.522
2008Q3,60731.4,12716.2,93.449,86.133
2008Q4,59891.7,12768.3,93.463,85.685
2009Q1,58643.2,13876.0,96.076,88.535
2009Q2,60078.6,14065.2,95.768,92.126
2009Q3,59149.9,13847.9,94.977,90.741
2009Q4,59942.7,13494.4,96.126,94.073
2010Q1,58467.8,13369.4,99.393,103.09
2010Q2,56827.9,12677.9,100.247,99.977
2010Q3,55282.4,12109.4,100.824,98.795
2010Q4,54286.6,11923.8,99.568,97.945
2011Q1,52822.1,11127.2,101.0,95.155
2011Q2,51685.1,11298.7,100.538,96.348
2011Q3,50661.0,11512.8,100.638,96.627
2011Q4,48944.7,10936.5,101.959,97.281
2012Q1,48259.5,11116.4,100.544,95.312
2012Q2,47471.4,10667.8,100.779,95.621
2012Q3,46615.7,10043.9,100.516,95.363
2012Q4,46223.1,10193.7,100.52,94.31
2013Q1,45691.0,9523.2,100.256,93.625
2013Q2,45283.7,9340.5,99.347,92.111
2013Q3,44673.0,9478.5,97.837,88.915
2013Q4,44311.6,9108.3,96.515,86.468
2014Q1,44346.6,9278.9,96.784,89.053
2014Q2,44056.8,9335.4,96.192,88.228
2014Q3,44618.4,8827.5,96.416,88.58
2014Q4,44309.3,9063.2,96.681,89.583
2015Q1,44310.9,9184.2,96.145,87.326
2015Q2,44126.5,8967.5,95.848,86.368
2015Q3,43527.1,9136.0,96.395,86.396
2015Q4,44228.9,9021.4,96.136,86.118
2016Q1,43555.8,8872.4,95.668,84.994
2016Q2,43677.4,8971.5,96.136,85.914
2016Q3,43595.3,9098.8,95.68,86.3
2016Q4,43773.0,8944.2,95.41,85.71
2017Q1,43878.3,8947.6,95.732,87.005
2017Q2,44066.1,9092.6,95.774,87.092
2017Q3,44658.5,9043.2,96.101,87.283
2017Q4,44238.2,9205.3,96.15,87.945
2018Q1,44624.6,9103.0,95.592,88.537
2018Q2,44775.2,8692.8,95.673,88.213
2018Q3,44731.7,8983.6,95.816,88.441
2018Q4,45158.4,8891.7,96.042,88.997
2019Q1,45499.0,9067.3,96.007,89.343
2019Q2,46250.2,9517.4,96.566,90.3
2019Q3,45622.1,9176.1,95.74,90.655
2019Q4,45481.6,9238.0,95.504,89.786
2020Q1,44615.2,9443.5,95.713,90.277
2020Q2,38420.0,9330.6,95.536,89.541
2020Q3,40716.8,9507.4,95.709,89.579
2020Q4,41710.2,9693.5,94.846,90.156
2021Q1,42927.8,9623.9,94.192,90.359
2021Q2,44264.3,9767.7,95.951,91.35
2021Q3,46113.0,10078.8,96.841,92.516
2021Q4,48120.3,10204.3,100.269,93.627
2022Q1,49890.2,10233.7,101.636,93.81
2022Q2,50929.2,10436.1,103.317,94.4
2022Q3,52106.3,10517.2,105.159,94.433
2022Q4,52947.7,10473.3,105.888,94.988
2023Q1,53833.0,10764.1,107.605,95.912
2023Q2,55119.7,10789.5,108.975,96.424
2023Q3,55468.0,10727.7,109.647,96.989
